gpu_name,gpu_uuid,elapsed_seconds,nvidia_timestamp,gpu_clock_mhz,memory_clock_mhz,temperature_c,power_w,gpu_utilization_percent,memory_used_mb,throughput_tflops
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,567.72,2026/09/22 09:34:52.840,1567,7001,68,79.97,98,263,22.1002
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,572.8,2026/09/22 09:34:57.922,1552,7001,69,79.96,97,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,577.88,2026/09/22 09:35:02.982,1567,7001,69,79.71,98,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,582.92,2026/09/22 09:35:08.042,1560,7001,70,79.65,97,263,21.9902
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,587.97,2026/09/22 09:35:13.080,1552,7001,70,79.64,98,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,593.03,2026/09/22 09:35:18.148,1545,7001,70,79.72,99,263,22.0177
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,598.09,2026/09/22 09:35:23.198,1537,7001,70,79.69,98,263,21.9627
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,603.12,2026/09/22 09:35:28.243,1552,7001,71,79.70,98,263,21.9078
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,608.19,2026/09/22 09:35:33.297,1537,7001,70,79.76,98,263,21.9353
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,613.25,2026/09/22 09:35:38.361,1537,7001,71,79.74,98,263,21.9627
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,618.31,2026/09/22 09:35:43.424,1575,7001,71,79.93,98,263,21.9627
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,623.38,2026/09/22 09:35:48.487,1777,7001,71,78.91,70,263,21.9353
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,628.44,2026/09/22 09:35:53.554,1552,7001,71,79.81,98,263,21.9627
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,633.5,2026/09/22 09:35:58.614,1545,7001,71,79.72,98,263,21.9078
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,638.56,2026/09/22 09:36:03.671,1552,7001,71,79.63,98,263,21.9078
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,643.61,2026/09/22 09:36:08.727,1545,7001,71,79.65,98,263,21.8803
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,648.69,2026/09/22 09:36:13.794,1552,7001,71,79.78,98,263,21.9078
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,653.73,2026/09/22 09:36:18.844,1552,7001,72,79.85,98,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,658.78,2026/09/22 09:36:23.908,1552,7001,72,79.83,98,263,21.8528
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,663.84,2026/09/22 09:36:28.962,1575,7001,72,80.06,98,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,668.91,2026/09/22 09:36:34.019,1545,7001,71,79.79,98,263,21.7978
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,673.97,2026/09/22 09:36:39.083,1545,7001,72,79.84,98,263,21.8253
NVIDIA GeForce RTX 3060 Laptop GPU,20606811-3bb2-e6b5-ec74-b477d9c1d1d8,679.03,2026/09/22 09:36:44.145,1537,7001,72,79.82,99,263,21.8253
